N_NEURONIOS, TAXA_APRENDIZADO, MOMENTUM, ACURACIA, ERROS
20, 0.01, 0.7, 0.95, 101

0.95, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 182, 0, 0, 0, 2, 0, 1, 0, 1, 0
1, 0, 169, 1, 0, 0, 1, 0, 0, 5, 7
2, 0, 2, 172, 1, 0, 0, 0, 0, 3, 1
3, 0, 1, 2, 203, 0, 4, 0, 2, 2, 2
4, 1, 0, 0, 0, 175, 0, 2, 2, 2, 3
5, 0, 0, 1, 1, 1, 177, 0, 0, 0, 6
6, 0, 2, 0, 0, 2, 0, 166, 0, 2, 0
7, 0, 2, 1, 1, 1, 0, 0, 190, 1, 5
8, 0, 10, 0, 0, 0, 1, 0, 1, 174, 4
9, 0, 3, 0, 0, 6, 1, 0, 0, 1, 165


N_NEURONIOS, TAXA_APRENDIZADO, MOMENTUM, ACURACIA, ERROS
20, 0.01, 0.7, 0.95, 106

0.95, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 183, 0, 0, 0, 2, 0, 1, 0, 0, 0
1, 0, 165, 1, 0, 1, 1, 1, 0, 7, 7
2, 0, 2, 174, 0, 0, 0, 0, 0, 2, 1
3, 0, 1, 2, 205, 0, 3, 0, 1, 2, 2
4, 1, 1, 0, 0, 173, 0, 2, 1, 3, 4
5, 0, 0, 1, 1, 1, 175, 0, 0, 0, 8
6, 0, 3, 0, 0, 2, 1, 165, 0, 1, 0
7, 0, 2, 1, 1, 2, 0, 0, 189, 1, 5
8, 0, 9, 0, 0, 0, 1, 0, 1, 177, 2
9, 0, 4, 0, 1, 6, 1, 0, 0, 2, 162


N_NEURONIOS, TAXA_APRENDIZADO, MOMENTUM, ACURACIA, ERROS
20, 0.01, 0.7, 0.95, 110

0.95, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 182, 0, 0, 0, 3, 0, 1, 0, 0, 0
1, 0, 167, 1, 0, 0, 1, 2, 0, 6, 6
2, 0, 2, 172, 0, 0, 0, 0, 0, 4, 1
3, 0, 1, 4, 199, 0, 3, 0, 2, 4, 3
4, 1, 1, 0, 0, 174, 0, 2, 1, 3, 3
5, 0, 0, 1, 1, 1, 176, 0, 0, 0, 7
6, 0, 2, 0, 0, 2, 1, 167, 0, 0, 0
7, 0, 2, 1, 1, 1, 0, 0, 190, 1, 5
8, 0, 11, 0, 0, 0, 3, 0, 0, 174, 2
9, 1, 3, 0, 0, 6, 1, 0, 0, 2, 163


N_NEURONIOS, TAXA_APRENDIZADO, MOMENTUM, ACURACIA, ERROS
20, 0.01, 0.7, 0.95, 111

0.95, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 182, 0, 0, 0, 2, 0, 1, 0, 1, 0
1, 0, 166, 1, 0, 1, 1, 2, 0, 5, 7
2, 0, 2, 172, 1, 0, 0, 0, 0, 2, 2
3, 0, 1, 2, 203, 0, 3, 0, 2, 3, 2
4, 0, 1, 0, 0, 174, 0, 3, 2, 2, 3
5, 0, 0, 1, 1, 1, 175, 0, 0, 1, 7
6, 0, 2, 0, 0, 2, 1, 166, 0, 1, 0
7, 0, 2, 2, 1, 1, 0, 0, 189, 1, 5
8, 0, 11, 0, 0, 1, 2, 0, 0, 172, 4
9, 0, 3, 0, 0, 6, 1, 0, 0, 2, 164


N_NEURONIOS, TAXA_APRENDIZADO, MOMENTUM, ACURACIA, ERROS
20, 0.01, 0.7, 0.95, 111

0.95, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 183, 0, 0, 0, 2, 0, 1, 0, 0, 0
1, 0, 166, 1, 0, 0, 1, 1, 0, 7, 7
2, 0, 3, 172, 1, 0, 0, 0, 0, 2, 1
3, 0, 1, 2, 203, 0, 3, 0, 2, 3, 2
4, 1, 0, 0, 0, 176, 0, 2, 1, 3, 2
5, 0, 0, 1, 1, 1, 175, 0, 0, 0, 8
6, 0, 3, 0, 0, 2, 1, 166, 0, 0, 0
7, 0, 2, 2, 1, 2, 0, 0, 187, 2, 5
8, 0, 12, 0, 0, 0, 2, 0, 0, 172, 4
9, 0, 4, 0, 0, 6, 1, 0, 0, 2, 163


N_NEURONIOS, TAXA_APRENDIZADO, MOMENTUM, ACURACIA, ERROS
20, 0.01, 0.7, 0.95, 103

0.95, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 184, 0, 0, 0, 1, 0, 1, 0, 0, 0
1, 0, 166, 1, 0, 1, 1, 1, 0, 6, 7
2, 0, 3, 174, 0, 0, 0, 0, 0, 1, 1
3, 0, 1, 2, 201, 0, 3, 0, 2, 5, 2
4, 1, 0, 0, 0, 175, 0, 2, 1, 3, 3
5, 0, 0, 1, 1, 1, 176, 0, 0, 0, 7
6, 0, 3, 0, 0, 1, 1, 166, 0, 1, 0
7, 0, 2, 2, 1, 2, 0, 0, 188, 1, 5
8, 0, 8, 0, 1, 0, 1, 0, 0, 177, 3
9, 0, 4, 0, 0, 6, 1, 0, 0, 1, 164


N_NEURONIOS, TAXA_APRENDIZADO, MOMENTUM, ACURACIA, ERROS
20, 0.01, 0.7, 0.95, 111

0.95, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 183, 0, 0, 0, 1, 0, 1, 0, 1, 0
1, 0, 168, 1, 0, 0, 1, 0, 0, 6, 7
2, 0, 2, 172, 1, 0, 0, 0, 0, 3, 1
3, 0, 1, 1, 201, 0, 3, 0, 2, 6, 2
4, 1, 0, 0, 0, 174, 0, 2, 2, 2, 4
5, 0, 0, 1, 1, 1, 175, 0, 0, 0, 8
6, 0, 3, 0, 0, 2, 0, 166, 0, 1, 0
7, 0, 2, 1, 1, 2, 0, 0, 189, 1, 5
8, 0, 9, 0, 1, 0, 1, 1, 1, 173, 4
9, 0, 4, 0, 0, 6, 1, 0, 1, 2, 162


N_NEURONIOS, TAXA_APRENDIZADO, MOMENTUM, ACURACIA, ERROS
20, 0.01, 0.7, 0.95, 114

0.95, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 182, 0, 0, 0, 2, 0, 1, 0, 1, 0
1, 0, 166, 0, 0, 1, 1, 0, 0, 8, 7
2, 0, 3, 173, 1, 0, 0, 0, 0, 1, 1
3, 0, 1, 1, 199, 0, 5, 0, 2, 6, 2
4, 1, 1, 0, 0, 175, 0, 2, 0, 4, 2
5, 0, 0, 1, 1, 1, 175, 1, 0, 0, 7
6, 0, 3, 0, 0, 2, 1, 165, 0, 1, 0
7, 0, 2, 2, 1, 2, 0, 0, 187, 2, 5
8, 0, 9, 0, 0, 0, 1, 0, 1, 175, 4
9, 0, 3, 0, 0, 6, 1, 0, 1, 2, 163


N_NEURONIOS, TAXA_APRENDIZADO, MOMENTUM, ACURACIA, ERROS
20, 0.01, 0.7, 0.95, 114

0.95, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 183, 0, 0, 0, 2, 0, 1, 0, 0, 0
1, 0, 166, 1, 0, 1, 1, 1, 0, 6, 7
2, 0, 3, 171, 1, 0, 0, 0, 0, 3, 1
3, 0, 1, 2, 200, 0, 3, 0, 2, 6, 2
4, 0, 1, 0, 0, 175, 0, 3, 1, 2, 3
5, 0, 0, 1, 1, 1, 175, 0, 0, 0, 8
6, 0, 3, 0, 0, 2, 1, 165, 0, 1, 0
7, 0, 2, 3, 1, 1, 0, 0, 187, 1, 6
8, 0, 8, 0, 0, 1, 1, 1, 1, 174, 4
9, 0, 3, 0, 0, 6, 1, 0, 1, 1, 164


N_NEURONIOS, TAXA_APRENDIZADO, MOMENTUM, ACURACIA, ERROS
20, 0.01, 0.7, 0.95, 100

0.95, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 182, 0, 0, 0, 3, 0, 1, 0, 0, 0
1, 0, 163, 0, 0, 1, 1, 0, 0, 11, 7
2, 0, 2, 172, 0, 0, 0, 0, 0, 5, 0
3, 0, 1, 1, 204, 0, 3, 0, 1, 3, 3
4, 1, 2, 0, 0, 172, 0, 2, 1, 4, 3
5, 0, 0, 1, 1, 1, 176, 0, 0, 0, 7
6, 0, 2, 0, 0, 2, 0, 168, 0, 0, 0
